iso3,year,terrorism,self_defense,sovereignty,humanitarian,whataboutism,procedural,historical,group,period
VNM,2019,0.0,0.0,0.0,0.0,0.0,6.822057987492894,0.5685048322910744,Soviet/Eastern bloc,2014–2019
KAZ,2019,3.691983122362869,0.0,0.0,0.5274261603375527,0.0,0.0,0.0,Soviet/Eastern bloc,2014–2019
TKM,2019,1.431980906921241,0.0,0.47732696897374705,0.47732696897374705,0.0,1.431980906921241,0.0,Soviet/Eastern bloc,2014–2019
UKR,2016,2.721829069134458,0.0,0.2721829069134459,1.360914534567229,0.0,1.0887316276537835,0.8165487207403375,Soviet/Eastern bloc,2014–2019
RUS,2014,4.7114252061248525,0.0,0.7852375343541421,0.7852375343541421,0.0,0.7852375343541421,0.39261876717707106,Soviet/Eastern bloc,2014–2019
SLB,2019,0.0,0.0,0.29231218941829873,0.0,0.0,0.29231218941829873,0.0,Non-Aligned Movement,2014–2019
PRY,2014,0.0,0.0,0.0,0.4752851711026616,0.0,1.4258555133079849,0.4752851711026616,Non-Aligned Movement,2014–2019
MLI,2016,2.9955067398901645,0.0,0.998502246630055,0.4992511233150275,0.0,0.0,0.0,Non-Aligned Movement,2014–2019
MMR,2016,3.075030750307503,0.6150061500615006,0.0,0.6150061500615006,0.0,1.2300123001230012,0.0,Non-Aligned Movement,2014–2019
VCT,2018,0.40883074407195424,0.0,1.635322976287817,0.8176614881439085,0.0,0.8176614881439085,1.635322976287817,Non-Aligned Movement,2014–2019
UGA,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2014–2019
PER,2016,0.0,0.0,1.0256410256410255,0.0,0.0,1.0256410256410255,0.0,Non-Aligned Movement,2014–2019
UGA,2017,1.098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2014–2019
GTM,2014,0.5711022272986864,0.0,0.0,0.5711022272986864,0.0,0.0,0.0,Non-Aligned Movement,2014–2019
NPL,2019,2.089427496865859,0.0,0.0,0.41788549937317176,0.0,1.253656498119515,0.0,Non-Aligned Movement,2014–2019
NIC,2017,3.6344755970924196,0.0,1.557632398753894,0.0,0.0,1.0384215991692627,0.0,Non-Aligned Movement,2014–2019
ETH,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.7668711656441718,Non-Aligned Movement,2014–2019
ARE,2017,13.254113345521024,0.0,3.19926873857404,3.19926873857404,0.0,1.8281535648994516,0.0,Non-Aligned Movement,2014–2019
FSM,2018,0.0,0.0,0.0,0.0,0.0,1.3651877133105803,0.0,Non-Aligned Movement,2014–2019
UGA,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-Aligned Movement,2014–2019
CAF,2014,0.9803921568627451,0.0,0.0,4.411764705882353,0.0,0.9803921568627451,0.0,Non-Aligned Movement,2014–2019
ZMB,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.6553079947575361,Non-Aligned Movement,2014–2019
