country_iso3,year,period,bloc,paragraph_id,manual_strategy_code,dominant_role,habermas_type,role_score_justification,role_score_dialogue_appeal,role_score_legal_normative,role_score_sovereignty_norm,role_score_historical_context,role_score_victim_narrative,role_score_denial,role_score_counter_accusation,role_score_delegitimation
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,5,counterterrorism,justification,communicative,21.73913043478261,7.246376811594203,0.0,0.0,0.0,7.246376811594203,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,6,counterterrorism,justification,communicative,24.193548387096772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,9,counterterrorism,justification,communicative,7.518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,10,humanitarian,sovereignty_norm,normative,7.518796992481203,7.518796992481203,0.0,15.037593984962406,0.0,0.0,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,11,counterterrorism,justification,communicative,16.260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,14,humanitarian,unclassified,unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUR,2019,Post-2014 Normative Fragmentation,Western bloc,25,counterterrorism,justification,communicative,42.25352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,0,procedural_legal,legal_normative,normative,0.0,0.0,15.748031496062993,0.0,0.0,0.0,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,2,procedural_legal,legal_normative,normative,0.0,0.0,37.59398496240601,0.0,0.0,0.0,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,3,historical,historical_context,dramaturgical,0.0,0.0,0.0,0.0,7.633587786259541,0.0,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,8,counterterrorism,justification,communicative,21.58273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,9,counterterrorism,victim_narrative,dramaturgical,8.064516129032258,0.0,0.0,0.0,0.0,16.129032258064516,0.0,0.0,0.0
AZE,2020,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,11,procedural_legal,legal_normative,normative,0.0,0.0,48.78048780487805,32.520325203252035,8.130081300813009,0.0,0.0,0.0,0.0
ETH,2021,Post-2014 Normative Fragmentation,Non-Aligned Movement,6,humanitarian,justification,communicative,16.528925619834713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,2022,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,1,historical,historical_context,dramaturgical,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0
RUS,2022,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,21,counterterrorism,justification,communicative,21.12676056338028,0.0,7.042253521126761,0.0,0.0,0.0,0.0,0.0,0.0
RUS,2022,Post-2014 Normative Fragmentation,Soviet/Eastern bloc,23,procedural_legal,justification,communicative,14.814814814814815,0.0,7.407407407407407,0.0,0.0,7.407407407407407,0.0,0.0,0.0
